"indicatorId","indicator","county","value","eventCount","denominator","unit","period","source","latitude","longitude","suppressed"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Albany","12",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","42.678066","-73.814233","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Allegany","14.8",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","42.226801","-78.020567","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Bronx","12.5",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","40.85589","-73.868294","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Broome","12.7",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","42.122015","-75.933191","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Cattaraugus","15.9",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","42.224267","-78.606673","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Cayuga","8.2",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","42.940095","-76.560755","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Chautauqua","12.4",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","42.246904","-79.315313","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Chemung","8.6",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","42.116644","-76.812331","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Chenango","13.1",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","42.481798","-75.570013","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Clinton","15",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","44.731944","-73.548883","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Columbia","6.4",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","42.276913","-73.682168","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Cortland","11.9",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","42.597101","-76.143291","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Delaware","9.3",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","42.242972","-74.997944","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Dutchess","11.3",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","41.686216","-73.840468","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Erie","12.8",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","42.888143","-78.795544","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Essex","17.5",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","44.166026","-73.685145","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Franklin","8.4",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","44.705699","-74.340621","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Fulton","15.4",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","43.06014","-74.331296","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Genesee","9.7",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","43.000121","-78.172679","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Greene","18.9",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","42.298326","-73.973376","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Hamilton",,,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","43.618468","-74.395268","True"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Herkimer","13.6",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","43.070026","-74.994246","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Jefferson","13.6",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","44.019295","-75.898971","False"
"adult-asthma","Age-adjusted percentage of adults with current asthma","Kings","9",,,"Percentage","2022","NYS Expanded Behavioral Risk Factor Surveillance System, data as of November 2022","40.65642","-73.950691","False"
