"campus_key","school_address","school_city","school_zip","longitude","latitude","school_count","school_names","sed_codes","screening_relationship","dec_site_code","dec_site_name","dec_program","dec_site_class","dec_address_1","dec_address_2","dec_locality","dec_zip","dec_county","dec_town","dec_boundary_method","dec_gis_flag","dec_detail_url","verification_status","screening_source","screened_on"
"154 S OGDEN ST|BUFFALO|14210","154 S OGDEN ST","BUFFALO","14210","-78.8033997432541","42.8634679932201","1","SOUTH BUFFALO CHARTER SCHOOL","140600860817","point_inside_dec_boundary","C915268","154 South Ogden Street Site","Brownfield Cleanup Program","C","154 South Ogden",,"Buffalo","14210     ","Erie","Buffalo (c)","4.2","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=C915268","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"75 W HURON ST|BUFFALO|14201","75 W HURON ST","BUFFALO","14201","-78.8762868386255","42.8895702082553","1","BUFFALO SCHOOL OF CULINARY ARTS AND HOSPITALITY MANAGEMENT","140600010313","point_inside_dec_boundary","C915282","73-79 W. Huron St.","Brownfield Cleanup Program","C","73-79 W. Huron St.",,"Buffalo","14202     ","Erie","Buffalo (c)","4.2","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=C915282","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"75 W HURON ST|BUFFALO|14214","75 W HURON ST","BUFFALO","14214","-78.8762868386255","42.8895702082553","1","PS 42 OCCUPATIONAL TRAINING CENTER","140600010042","point_inside_dec_boundary","C915282","73-79 W. Huron St.","Brownfield Cleanup Program","C","73-79 W. Huron St.",,"Buffalo","14202     ","Erie","Buffalo (c)","4.2","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=C915282","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"106 APPENHEIMER ST|BUFFALO|14214","106 APPENHEIMER ST","BUFFALO","14214","-78.8348216359528","42.92420024424","1","DR LYDIA T WRIGHT SCH OF EXCELLENCE","140600010094","within_1000_ft_of_dec_boundary","915165","Vibratech Inc.","State Superfund Program            ","02","537 East Delavan",,"Buffalo","14211     ","Erie","Buffalo (c)","4.3","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=915165","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"1095 JEFFERSON AVE|BUFFALO|14208","1095 JEFFERSON AVE","BUFFALO","14208","-78.8532728156337","42.9043724830224","1","STANLEY MAKOWSKI EARLY CHILDHOOD CENTER","140600010126","within_1000_ft_of_dec_boundary","C915317","Jefferson Avenue Apartments","Brownfield Cleanup Program","C","1140 & 1162 Jefferson Avenue",,"Buffalo","14208     ","Erie","Buffalo (c)","4.2","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=C915317","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"111 GREAT ARROW AVE|BUFFALO|14216","111 GREAT ARROW AVE","BUFFALO","14216","-78.8720684575356","42.9424984921369","1","TAPESTRY CHARTER SCHOOL ELEMENTARY SCHOOL","800000090491","within_1000_ft_of_dec_boundary","C915314","MOD-PAC CORP.","Brownfield Cleanup Program","C","1801 Elmwood Avenue",,"Buffalo","14207     ","Erie","Buffalo (c)","1.1","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=C915314","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"1500 ELMWOOD AVE|BUFFALO|14207","1500 ELMWOOD AVE","BUFFALO","14207","-78.8793128390504","42.9382657647282","1","MCKINLEY VOCATIONAL HIGH SCHOOL","140600010098","within_1000_ft_of_dec_boundary","C915421","Voelkers Lanes Apartments","Brownfield Cleanup Program","A","1624, 1628, 1634 Elmwood Ave; 155 Marion St;","666, 668, 670, 680 Amherst St","Buffalo","14207     ","Erie","Buffalo (c)","1.1","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=C915421","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"1500 ELMWOOD AVE|BUFFALO|14207","1500 ELMWOOD AVE","BUFFALO","14207","-78.8793128390504","42.9382657647282","1","MCKINLEY VOCATIONAL HIGH SCHOOL","140600010098","within_1000_ft_of_dec_boundary","V00084","601 Amherst Street","Voluntary Cleanup Program","C","601 Amherst Street",,"Buffalo","14220     ","Erie","Buffalo (c)","4.3","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=V00084","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"157 ELK ST|BUFFALO|14210","157 ELK ST","BUFFALO","14210","-78.8484309139888","42.8687552322645","1","BILINGUAL CENTER","140600010033","within_1000_ft_of_dec_boundary","C915309","Silos at Elk Street Site","Brownfield Cleanup Program","C","50 Elk Street",,"Buffalo","14210     ","Erie","Buffalo (c)","1.1","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=C915309","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"186 E NORTH ST|BUFFALO|14204","186 E NORTH ST","BUFFALO","14204","-78.8612648895066","42.9030233959531","1","CITY HONORS SCHOOL","140600010102","within_1000_ft_of_dec_boundary","C915294","Pilgrim Village Redevelopment/Campus Square","Brownfield Cleanup Program","A","903 Ellicott Street",,"Buffalo","14209     ","Erie","Buffalo (c)","1.1","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=C915294","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"186 E NORTH ST|BUFFALO|14204","186 E NORTH ST","BUFFALO","14204","-78.8612648895066","42.9030233959531","1","CITY HONORS SCHOOL","140600010102","within_1000_ft_of_dec_boundary","C915363","Former Pilgrim Village Senior Apartments","Brownfield Cleanup Program","C","951 Ellicott Street",,"Buffalo","14209     ","Erie","Buffalo (c)","1.1","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=C915363","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"186 E NORTH ST|BUFFALO|14204","186 E NORTH ST","BUFFALO","14204","-78.8612648895066","42.9030233959531","1","CITY HONORS SCHOOL","140600010102","within_1000_ft_of_dec_boundary","C915415","Former Pilgrim Village Sublot 3","Brownfield Cleanup Program","A","951 Ellicott Street",,"Buffalo","14209     ","Erie","Buffalo (c)","1.1","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=C915415","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"2245 KENMORE AVE|BUFFALO|14223","2245 KENMORE AVE","BUFFALO","14223","-78.8966812545684","42.9654889660926","1","CHARTER SCH APPLIED TECHNOLOGIES HS","800000059271","within_1000_ft_of_dec_boundary","915057","TRW (J.H. Williams Div.)","Resource Conservation and Recovery","C","400 Vulcan Street",,"Tonawanda","14207     ","Erie","Tonawanda","4.3","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=915057","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"225 LAWN AVE|BUFFALO|14207","225 LAWN AVE","BUFFALO","14207","-78.8897147342874","42.9505882562272","1","PFC WILLIAM J GRABIARZ #79","140600010129","within_1000_ft_of_dec_boundary","V00314","Aurubis Buffalo, Inc.","Voluntary Cleanup Program","C","Military Road and Sayre Street"," ","Buffalo","14207     ","Erie","Buffalo (c)","4.3","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=V00314","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"2358 MAIN ST|BUFFALO|14214","2358 MAIN ST","BUFFALO","14214","-78.8459515667066","42.9336366994148","1","DR GEORGE BLACKMAN ECC","140600010054","within_1000_ft_of_dec_boundary","915144","Niagara Mohawk Dewey Ave. Service Sta.","State Superfund Program            ","C","144 Kensington Avenue"," ","Buffalo","14214     ","Erie","Buffalo (c)","4.3","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=915144","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"24 WESTMINSTER AVE|BUFFALO|14215","24 WESTMINSTER AVE","BUFFALO","14215","-78.8126139500977","42.9396971198681","1","WESTMINSTER COMMUNITY CHARTER SCHOOL","140600860874","within_1000_ft_of_dec_boundary","C915402","Bailey and Kensington","Brownfield Cleanup Program","N","3074 Bailey Ave; 1096, 1098, & 1102 Kensington Ave",,"Buffalo","14215     ","Erie","Buffalo (c)","1.1","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=C915402","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"249 SKILLEN ST|BUFFALO|14207","249 SKILLEN ST","BUFFALO","14207","-78.8959979233602","42.9600819154204","1","PS 65 ROOSEVELT ECC","140600010065","within_1000_ft_of_dec_boundary","C915391","2101 Kenmore Avenue Site","Brownfield Cleanup Program","C","2101 Kenmore Avenue",,"Tonawanda","14207     ","Erie","Tonawanda","1.1","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=C915391","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"256 S ELMWOOD AVE|BUFFALO|14201","256 S ELMWOOD AVE","BUFFALO","14201","-78.8788959831579","42.8917621540668","1","HUTCHINSON CENTRAL TECHNICAL HIGH SCHOOL","140600010105","within_1000_ft_of_dec_boundary","C915282","73-79 W. Huron St.","Brownfield Cleanup Program","C","73-79 W. Huron St.",,"Buffalo","14202     ","Erie","Buffalo (c)","4.2","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=C915282","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"275 OAK ST|BUFFALO|14203","275 OAK ST","BUFFALO","14203","-78.8684546079948","42.8901845284602","1","ENTERPRISE CHARTER SCHOOL","140600860856","within_1000_ft_of_dec_boundary","C915388","Simon Properties Northeast","Brownfield Cleanup Program","N","264 Oak Street",,"Buffalo","14203     ","Erie","Buffalo (c)","1.1","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=C915388","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"2885 MAIN ST|BUFFALO|14214","2885 MAIN ST","BUFFALO","14214","-78.8326608839969","42.9448850487522","2","LEWIS J BENNETT HIGH SCHOOL OF INNOVATIVE TECHNOLGY | MIDDLE EARLY COLLEGE HIGH SCHOOL","140600010311 | 140600010135","within_1000_ft_of_dec_boundary","C915369","389 Manhattan Avenue","Brownfield Cleanup Program","A","389 Manhattan Avenue",,"Buffalo","14214     ","Erie","Buffalo (c)","1.1","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=C915369","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"2885 MAIN ST|BUFFALO|14214","2885 MAIN ST","BUFFALO","14214","-78.8326608839969","42.9448850487522","2","LEWIS J BENNETT HIGH SCHOOL OF INNOVATIVE TECHNOLGY | MIDDLE EARLY COLLEGE HIGH SCHOOL","140600010311 | 140600010135","within_1000_ft_of_dec_boundary","V00168","Main-LaSalle Revitalization Project","Voluntary Cleanup Program","N","Main-LaSalle Street",,"Buffalo","14214     ","Erie","Buffalo (c)","4.3","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=V00168","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
"30 RICH ST|BUFFALO|14211","30 RICH ST","BUFFALO","14211","-78.8427758483919","42.9017890006623","1","BRICK BUFFALO ACADEMY CHARTER SCHOOL","140600861196","within_1000_ft_of_dec_boundary","C915211","NOCO #S41","Brownfield Cleanup Program","C","1055 Genesee Street",,"Buffalo","14211     ","Erie","Buffalo (c)","4.3","1","https://appfactory.dec.ny.gov/DERExternalSearch/ERDDetails?SiteCode=C915211","screening_hit_not_yet_parcel_verified","https://gisservices.dec.ny.gov/arcgis/rest/services/der/RemediationSpills/MapServer/3/query","2026-07-29"
