"site_code","site_name","program","site_class","address","closest_band","dec_document_index","document_count","has_certificate_of_completion","certificate_documents","has_decision_or_rod","decision_documents","has_final_engineering_report","engineering_documents","has_site_management_plan","management_documents","has_periodic_review","periodic_review_documents","application_or_phase_documents","fact_sheet_documents","index_status","indexed_on"
"915007","Anaconda Company/American Brass","State Superfund Program            ","C","Military Road and Sayre Street","within_500_ft_of_dec_boundary","https://extapps.dec.ny.gov/data/DecDocs/915007/","0","False","","False","","False","","False","","False","","","","unavailable: The remote server returned an error: (404) Not Found.","2026-07-29"
"915033","LaSalle Reservoir","State Superfund Program            ","N","Parkridge Avenue and East Amherst Street","within_500_ft_of_dec_boundary","https://extapps.dec.ny.gov/data/DecDocs/915033/","2","False","","False","","False","","False","","False","","Report.HW.915033.1986-03-01.Phase_I_Investigation.pdf | Report.HW.915033.1991-04-01.Phase_II_Investigation.pdf","","available","2026-07-29"
"915057","TRW (J.H. Williams Div.)","Resource Conservation and Recovery","C","400 Vulcan Street","within_500_ft_of_dec_boundary","https://extapps.dec.ny.gov/data/DecDocs/915057/","0","False","","False","","False","","False","","False","","","","unavailable: The remote server returned an error: (404) Not Found.","2026-07-29"
"915144","Niagara Mohawk Dewey Ave. Service Sta.","State Superfund Program            ","C","144 Kensington Avenue","within_1000_ft_of_dec_boundary","https://extapps.dec.ny.gov/data/DecDocs/915144/","28","False","","False","","False","","False","","True","Report.HW.915144.2014-10-30.NG_Dewey_2014_PRR_GW_Report.pdf | Report.HW.915144.2015-11-11.PRR_and_IC-EC_Certification.pdf | Report.HW.915144.2016-11-28.NG_Dewey_2016_PRR_and_GW_Report.pdf | Report.HW.915144.2017-11-30.PRR_and_IC-EC_Cert.pdf | Report.HW.915144.2018-11-30.PRR_and_IC-EC_Certification.pdf | Report.HW.915144.2019-12-12.PRR_and_IC-EC_Certification.pdf | Report.HW.915144.2020-12-16.PRR_and_IC-EC_Certification.pdf | Report.HW.915144.2022-01-20.PRR_and_IC-EC_Certification.pdf | Report.HW.915144.2022-12-20.PRR_and_IC-EC_Certification.pdf | Report.HW.915144.2024-03-07.PRR_and_IC-EC_Certification.pdf | Report.HW.915144.2025-05-06.PRR_and_IC-EC_Certification.pdf | Report.HW.915144.2026-03-02.PRR_and_IC-EC_Certification.pdf","","","available","2026-07-29"
"915151","318 Urban Street","State Superfund Program            ","04","318 Urban Street","within_500_ft_of_dec_boundary","https://extapps.dec.ny.gov/data/DecDocs/915151/","27","False","","True","ROD.HW.915151.1995-03-01.urban_street.pdf","True","Report.HW.915151.2012-05-01.FER_Vol1.pdf | Report.HW.915151.2012-05-01.FER_Vol2.pdf | Report.HW.915151.2012-05-01.FER_Vol3.pdf | Report.HW.915151.2012-05-01.FER_Vol4.pdf | Report.HW.915151.2012-05-01.FER_Vol5.pdf | Report.HW.915151.2012-05-01.FER_Vol6.pdf | Report.HW.915151.2012-05-01.FER_Vol7.pdf","True","Work Plan.HW.915151.2012-05-25.updated_SMP.pdf","True","Report.HW.915151.2013-10-21.318_Urban_St_PRR_Oct_2013.pdf | Report.HW.915151.2015-11-13.Nov_2015_PRR.pdf | Report.HW.915151.2017-09-29.PRR_and_IC-EC_Certification-Revised.pdf | Report.HW.915151.2019-09-26.PRR_and_IC-EC_Certification.pdf | Report.HW.915151.2023-02-02.PRR_and_IC-EC_Certification.pdf | Report.HW.915151.2025-10-31.PRR_and_IC-EC_Certification.pdf","","Fact Sheet.HW.915151.2012-09-20.cleanup_complete.pdf","available","2026-07-29"
"915165","Vibratech Inc.","State Superfund Program            ","02","537 East Delavan","within_1000_ft_of_dec_boundary","https://extapps.dec.ny.gov/data/DecDocs/915165/","57","False","","True","Decision Document.HW.915165.1995-10-12.Interim Remedial Measure Decision Document Oct 1995.pdf | ROD.HW.915165.1997-03-01.vibratech_inc.pdf","False","","False","","True","Report.HW.915165.2002-04-08.Periodic_Review.pdf","Report.HW.915165.1994-06-09.Phase I Environmental Assessment Report June 1994.pdf | Report.HW.915165.1994-06-09.Phase II Environmental Assessment Report June 1994.pdf | Report.HW.915165.2014-09-01.Final Phase I Environmental Site Assessment Report.pdf | Report.HW.915165.2014-11-13.Phase II ESA Report (GZA-Final).pdf","Fact Sheet.HW.915165.2008-10-27.Untitled_20140827135626.pdf | Fact Sheet.HW.915165.2009-08-01.EPA_EPACleanupActionsNearlyComplete.pdf | Fact Sheet.HW.915165.2012-01-20.InvestigationToBegin.pdf | Fact Sheet.HW.915165.2012-01-23.ListServNotice_Factsheet.pdf","available","2026-07-29"
"915167","Fourth Street MGP Site","State Superfund Program            ","C","43 Carolina Street","within_500_ft_of_dec_boundary","https://extapps.dec.ny.gov/data/DecDocs/915167/","16","False","","True","ROD.HW.915167.2001-08-01.fourth_street.pdf","False","","False","","True","Report.HW.915167.2017-10-03.IC-EC_Certification.pdf | Report.HW.915167.2020-11-19.IC-EC_Certification.pdf","Report.HW.915167.1992-05-20.PhaseII_EnvironmentalInvestigation.pdf","Fact Sheet.HW.915167.2003-11-03.Project_Update.pdf | Fact Sheet.HW.915167.2005-05-01.Fact_Sheet.pdf","available","2026-07-29"
"915176","ChemCore","State Superfund Program            ","04","1382 Niagara Street","within_1000_ft_of_dec_boundary","https://extapps.dec.ny.gov/data/DecDocs/915176/","46","False","","True","ROD.HW.915176.2001-01-29.ChemCore.pdf","True","Report.HW.915176.2007-11-01.FERAddendum-OMM.pdf","True","Work Plan.HW.915176.2022-02-17.ChemCore Final SMP.pdf | Work Plan.HW.915176.2022-02-17.ChemCore SMP Appendix E- FAP.pdf | Work Plan.HW.915176.2022-02-17.ChemCore SMP Appendix F- HASP.pdf | Work Plan.HW.915176.2022-02-17.SMP Appendix I- QAPP .pdf","True","Report.HW.915176.2023-11-17.ChemCore Periodic Review Report 2023.pdf","","Fact Sheet.HW.915176.2004-07-01.RDRA_Factsheet.pdf | Fact Sheet.HW.915176.2022-10-07.2-4 Reclass Public Notice.pdf","available","2026-07-29"
"915210","Morgan Materials (aka Hertel Warehouse)","State Superfund Program            ","02","373 Hertel Avenue","within_1000_ft_of_dec_boundary","https://extapps.dec.ny.gov/data/DecDocs/915210/","6","False","","False","","False","","False","","False","","","Fact Sheet.HW.915210.2018-11-18.Class 2 Listing_Public Notice.pdf","available","2026-07-29"
"915324","Buffalo River - GLNPO Dredging Project","State Superfund Program            ","A","Buffalo River and City Ship Canal","within_1000_ft_of_dec_boundary","https://extapps.dec.ny.gov/data/DecDocs/915324/","0","False","","False","","False","","False","","False","","","","unavailable: The remote server returned an error: (404) Not Found.","2026-07-29"
