"scope","school_type","sed_code","institution_id","legal_name","popular_name","label_name","address","city","zip","county","institution_type","institution_subtype","record_type","district_type","district_name","longitude","latitude","source_layer","source_publication_date","inventory_status"
"Buffalo","charter","140600861196","800000092865","BRICK BUFFALO ACADEMY CHARTER SCHOOL","BRICK BUFFALO ACADEMY CHARTER SCHOOL","BRICK BUFFALO ACADEMY CS","30 RICH ST","BUFFALO","14211","ERIE","PUBLIC SCHOOLS","CHARTER SCHOOL","CHARTER SCHOOLS (IMF)",,"BUFFALO CITY SD","-78.842775848391867","42.901789000662284","4","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Buffalo","charter","140600860861","800000057454","BUFFALO ACADEMY OF SCIENCE CHARTER SCHOOL","BUFFALO ACADEMY OF SCIENCE CS","BUFFALO ACADEMY OF SCIENCE","24 AGASSIZ CIRCLE","BUFFALO","14214","ERIE","PUBLIC SCHOOLS","CHARTER SCHOOL","CHARTER SCHOOLS (IMF)",,"BUFFALO CITY SD","-78.8559660315006","42.928518209452776","4","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Buffalo","charter","800000090624","800000090624","BUFFALO ACADEMY OF SCIENCE CHARTER SCHOOL - ELEMENTARY SCHOOL","BUFFALO ACADEMY OF SCIENCE CS ES","BUFFALO ACADEMY OF SCIENCE C","89 CLARE ST","BUFFALO","14206","ERIE","PUBLIC SCHOOLS","SATELLITE SITE FOR CHARTER SCHOOLS","OTHER- NON IMF"," ","BUFFALO CITY SD","-78.840608085846497","42.880927865785992","4","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Buffalo","charter","140600861185","800000091548","BUFFALO ACADEMY OF SCIENCE CHARTER SCHOOL II","BUFFALO ACADEMY OF SCIENCE CS II","BUFFALO ACADEMY OF SCIENCE C","335 DOAT ST","BUFFALO","14211","ERIE","PUBLIC SCHOOLS","CHARTER SCHOOL","CHARTER SCHOOLS (IMF)"," ","BUFFALO CITY SD","-78.808285308417268","42.909333492918876","4","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Buffalo","charter","800000092475","800000092475","BUFFALO ACADEMY OF SCIENCE CHARTER II HIGH SCHOOL","BUFFALO ACAD-SCI CHARTER II HS","BUFFALO ACAD-SCI CHARTER HS","24 AGASSIZ CIRCLE","BUFFALO","14214","ERIE","PUBLIC SCHOOLS","SATELLITE SITE FOR CHARTER SCHOOLS","OTHER- NON IMF",,"BUFFALO CITY SD","-78.8559660315006","42.928518209452776","4","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Buffalo","charter","800000091782","800000091782","BUFFALO ACADEMY OF SCIENCE CHARTER MIDDLE SCHOOL","BUFFALO ACAD-SCI CHARTER MS","BUFFALO ACAD-SCI CHARTER MS","100 POPLAR AVE","BUFFALO","14211","ERIE","PUBLIC SCHOOLS","SATELLITE SITE FOR CHARTER SCHOOLS","OTHER- NON IMF"," ","BUFFALO CITY SD","-78.804706116518418","42.909033278774153","4","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Buffalo","charter","140600861186","800000092085","BUFFALO COMMONS CHARTER SCHOOL","BUFFALO COMMONS CHARTER SCHOOL","BUFFALO COMMONS CS","833 MICHIGAN AVE-3RD FL","BUFFALO","14203","ERIE","PUBLIC SCHOOLS","CHARTER SCHOOL","CHARTER SCHOOLS (IMF)",,"BUFFALO CITY SD","-78.864203734175177","42.895407255481963","4","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Buffalo","charter","140600860851","800000056182","BUFFALO UNITED CHARTER SCHOOL","BUFFALO UNITED CHARTER SCHOOL","BUFFALO UNITED CS","325 MANHATTAN AVE","BUFFALO","14214","ERIE","PUBLIC SCHOOLS","CHARTER SCHOOL","CHARTER SCHOOLS (IMF)"," ","BUFFALO CITY SD","-78.828345038592374","42.941628079384131","4","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Buffalo","charter","800000059832","800000059832","CHARTER SCH APPLIED TECHNOLOGIES MS","CHARTER SCH APPLIED TECHN MS","CHARTER SCH APPLIED TECH MS","24 SHOSHONE DR","BUFFALO","14214","ERIE","PUBLIC SCHOOLS","SATELLITE SITE FOR CHARTER SCHOOLS","OTHER- NON IMF",,"BUFFALO CITY SD","-78.836456987887829","42.947975720391803","4","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Buffalo","charter","140600861072","800000083428","CHARTER SCHOOL OF INQUIRY","CHARTER SCHOOL OF INQUIRY","CHARTER SCHOOL OF INQUIRY","404 EDISON ST","BUFFALO","14222","ERIE","PUBLIC SCHOOLS","CHARTER SCHOOL","CHARTER SCHOOLS (IMF)"," ","BUFFALO CITY SD","-78.802673894003235","42.934092405991102","4","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
