"site_code","site_name","relationship","program","source_strength","editorial_group","decision","reason","history_review_status"
"C915277","1050-1088 Niagara Street Site","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915277","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915364","1095 Niagara Street Site","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","adequate_primary_record","c915364","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915358","125 Chandler Street Site","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","adequate_primary_record","pierce-arrow-complex","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"E915213","1318 Niagara Street","within_1000_ft_of_dec_boundary","Environmental Restoration Program ","strong_primary_record","e915213","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915302","1360 Niagara Street","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915302","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915354","140 Chandler Street","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","pierce-arrow-complex","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915389","147 West Tupper Street Site","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915389","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915268","154 South Ogden Street Site","point_inside_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915268","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915370","156 Chandler Street","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","adequate_primary_record","pierce-arrow-complex","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915326","157 Great Arrow Avenue","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","existing_atlas_history","pierce-arrow-complex","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915320","166 Chandler Street","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","pierce-arrow-complex","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915279","1827 Fillmore Avenue","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","existing_atlas_history","c915279","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915214","200 Delaware Ave Project","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915214","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915391","2101 Kenmore Avenue Site","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915391","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"915413","230 Grider","within_1000_ft_of_dec_boundary","State Superfund Program            ","insufficient_for_launch","915413","hold_for_research","Potential-site consent order does not establish a historical release, liability, or completed investigation.","held"
"C915340","240 - 260 Lakefront Boulevard Site","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915340","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915323","25 Rano Street Site","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","adequate_primary_record","c915323","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915271","250 Delaware Avenue Site","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915271","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915208","275 Franklin Street","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","275-franklin","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915208A","275 Franklin Street - OFF-SITE","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","adequate_primary_record","275-franklin","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915242","295 Maryland Street","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915242","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"915151","318 Urban Street","within_500_ft_of_dec_boundary","State Superfund Program            ","strong_primary_record","915151","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915369","389 Manhattan Avenue","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915369","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915203","4 New Seventh Street Site","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915203","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
