"site_code","site_name","relationship","program","source_strength","fact_sheet","application_or_phase","decision_or_rod","completion_certificate","periodic_review","open_data_match","initial_outcome"
"C915277","1050-1088 Niagara Street Site","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","True","True","True","True","True","True","source_review_required"
"C915364","1095 Niagara Street Site","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","adequate_primary_record","False","True","False","False","False","True","source_review_required"
"C915358","125 Chandler Street Site","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","adequate_primary_record","False","True","False","False","False","True","source_review_required"
"E915213","1318 Niagara Street","within_1000_ft_of_dec_boundary","Environmental Restoration Program ","strong_primary_record","True","False","True","False","False","True","source_review_required"
"C915302","1360 Niagara Street","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","True","True","True","True","False","True","source_review_required"
"C915354","140 Chandler Street","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","True","True","True","True","False","True","source_review_required"
"C915389","147 West Tupper Street Site","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","True","True","True","True","False","True","source_review_required"
"C915268","154 South Ogden Street Site","point_inside_dec_boundary","Brownfield Cleanup Program","strong_primary_record","True","True","True","True","True","True","source_review_required"
"C915370","156 Chandler Street","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","adequate_primary_record","False","True","False","False","False","True","source_review_required"
"C915326","157 Great Arrow Avenue","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","existing_atlas_history","False","True","False","False","False","True","source_review_required"
"C915320","166 Chandler Street","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","True","True","True","True","True","True","source_review_required"
"C915279","1827 Fillmore Avenue","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","existing_atlas_history","True","True","True","True","True","True","source_review_required"
"C915214","200 Delaware Ave Project","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","True","True","False","False","False","True","source_review_required"
"C915391","2101 Kenmore Avenue Site","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","True","True","True","False","False","True","source_review_required"
"915413","230 Grider","within_1000_ft_of_dec_boundary","State Superfund Program            ","insufficient_for_launch","False","False","False","False","False","False","hold_for_research"
"C915340","240 - 260 Lakefront Boulevard Site","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","False","True","True","True","True","True","source_review_required"
"C915323","25 Rano Street Site","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","adequate_primary_record","True","False","False","False","False","True","source_review_required"
"C915271","250 Delaware Avenue Site","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","True","True","True","False","False","True","source_review_required"
"C915208","275 Franklin Street","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","True","True","True","True","True","True","source_review_required"
"C915208A","275 Franklin Street - OFF-SITE","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","adequate_primary_record","False","False","True","False","False","True","source_review_required"
